;.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
; (c) Translated to Russian by Konstantin Galichsky
;

;.TYPESET Garmin

; The Language ID for Russian defined by Microsoft
;
;.LANGID 0x419

; The Code Page ID for Cyrillics defined by Microsoft
;
;.CODEPAGE 1251

;========================================================================================

; Placeholder for unknown type
;
;.UNKNOWN  Тип не опредёлен

;========================================================================================

.POI

0x6617	Долина
0x6618	Лес

;========================================================================================

.POLYLINE

0x00	Дорога

; Three levels of highways
0x01	Автомагистраль
0x02	Шоссе основное
0x03	Прочие загородные дороги

; Most important kind of street
0x04	Городская магистраль
; Medium important kind of street
0x05	Улица крупная
; Ordinary street (80%)
0x06	Улица малая
; Smallest kind of street
0x07	Переулок, внутриквартальный проезд

0x08	Наклонный съезд с путепровода
0x09	Наклонный съезд с путепровода скоростной
0x0a	Грунтовая дорога
0x0b	Соединительное шоссе
0x0c	Круговое движение
0x16	Аллея, тропа
0x14	Железная дорога
0x1a	Паром
0x1b	Паром

0x19	Граница часового пояса
0x1e	Международная граница
0x1c	Граница области
0x1d	Граница района, округа

0x15	Береговая линия
0x18	Ручей
0x1f	Река
0x26	Пересыхающая река, ручей или канава

0x20	Горизонталь вспомогательная
0x21	Горизонталь основная
0x22	Горизонталь утолщённая
0x23	Изобата вспомогательная
0x24	Изобата основная
0x25	Изобата утолщённая

0x27	Взлетно-посадочная полоса
0x28	Трубопровод
0x29	Линия электропередачи

0x2a	Морская граница
0x2b	Опасность для плавания

;========================================================================================

.POLYGON

0x01	Городcкая застройка (>200 тж)
0x02	Городcкая застройка (<200 тж)
0x03	Застройка сельского типа

0x04	Военная база
0x05	Автостоянка
0x06	Гаражи
0x07	Аэропорт
0x08	Место для торговли
0x09	Пристань
0x0a	Территория университета или колледжа
0x0b	Территория больницы
0x0c	Промышленная зона
0x0d	Резервация, заповедник
0x0e	Взлетно-посадочная полоса
0x13	Здание, искусственное сооружение
0x18	Поле для гольфа
0x19	Спортивный комплекс
0x1a	Кладбище

0x14	Национальный парк
0x15	Национальный парк
0x16	Национальный парк
0x17	Городской парк
0x1e	Парк регионального значения
0x1f	Парк регионального значения
0x20	Парк регионального значения

0x28	Море/океан
0x29	Водоём
0x32	Море
0x3b	Водоём
0x3c	Озеро большое (250-600 км2)
0x3d	Озеро большое (77-250 км2)
0x3e	Озеро среднее (25-77 км2)
0x3f	Озеро среднее (11-25 км2)
0x40	Озеро малое (0.25-11 км2)
0x41	Озеро малое (<0.25 км2)
0x42	Озеро крупное (>3300 км2)
0x43	Озеро крупное (1100-3300 км2)
0x44	Озеро большое (600-1100 км2)
0x45	Водоём
0x46	Река крупная (>1 км)
0x47	Река большая (200 м-1 км)
0x48	Река средняя (40-200 м)
0x49	Река малая (<40 м)
0x4c	Пересыхающая река или озеро

0x4a	Область выделения карты
0x4b	Область покрытия карты

0x4d	Ледник
0x4e	Фруктовый сад или огород
0x4f	Кустарник
0x50	Лес
0x51	Болото
0x52	Тундра
0x53	Песчаная/иловая отмель, зона прилива
